frame,gpu_ms,cpu_ms,triangles,draws
386,20.6013,2.832,1063849,1699
387,20.3092,3.089,1063849,1699
388,20.3421,2.793,1063849,1699
389,19.7493,2.648,1063849,1699
390,20.7668,2.659,1063849,1699
391,21.1938,2.968,1063849,1699
392,20.3831,2.958,1063849,1699
393,20.9964,2.725,1063849,1699
394,20.0944,2.795,1063849,1699
395,20.7624,2.749,1063849,1699
396,19.9458,2.961,1063849,1699
397,20.4119,2.816,1063849,1699
398,20.5406,2.762,1063849,1699
399,19.6749,2.647,1063849,1699
400,20.7077,2.549,1063849,1699
401,20.2596,3.003,1063849,1699
402,19.7196,2.708,1063849,1699
403,19.2991,2.8,1063849,1699
404,19.9791,2.585,1063849,1699
405,21.5039,2.775,1063849,1699
406,19.7348,2.92,1063849,1699
407,21.611,2.626,1063849,1699
408,21.1212,3.288,1063849,1699
409,19.7331,3.137,1063849,1699
410,20.8555,2.864,1063849,1699
411,19.1095,2.95,1063849,1699
412,20.1272,2.644,1063849,1699
413,20.6038,2.871,1063849,1699
414,19.694,2.787,1063849,1699
415,19.4753,2.667,1063849,1699
416,20.1818,2.597,1063849,1699
417,19.7574,3.032,1063849,1699
418,20.5119,2.854,1063849,1699
419,19.8471,2.911,1063849,1699
420,19.4522,2.701,1063849,1699
421,21.1899,2.858,1063849,1699
422,20.0098,3.217,1063849,1699
423,19.6793,2.787,1063849,1699
424,19.1927,2.773,1063849,1699
425,19.338,2.569,1063849,1699
426,19.9729,2.653,1063849,1699
427,19.8975,2.783,1063849,1699
428,19.5941,2.914,1063849,1699
429,19.8456,2.903,1063849,1699
430,19.5237,2.828,1063849,1699
431,18.8915,2.822,1063849,1699
432,19.8865,2.715,1063849,1699
433,20.789,2.871,1063849,1699
434,19.4915,2.942,1063849,1699
435,19.6723,2.691,1063849,1699
436,19.8781,2.559,1063849,1699
437,19.2434,3.032,1063849,1699
438,19.187,2.98,1063849,1699
439,20.125,2.718,1063849,1699
440,19.8804,2.779,1063849,1699
441,19.0454,3.129,1063849,1699
442,19.466,2.81,1063849,1699
443,18.8979,2.685,1063849,1699
444,19.5921,2.838,1063849,1699
445,18.8676,2.684,1063849,1699
446,20.4995,3.078,1063849,1699
447,20.0805,2.764,1063849,1699
448,19.4338,2.94,1063849,1699
449,19.153,2.911,1063849,1699
450,19.9574,2.654,1063849,1699
451,19.6421,2.763,1063849,1699
452,19.4532,2.689,1063849,1699
453,18.7671,2.868,1063849,1699
454,19.5872,2.894,1063849,1699
455,19.1328,3.593,1063849,1699
456,19.6901,2.99,1063849,1699
457,19.0705,2.747,1063849,1699
458,19.6496,2.846,1063849,1699
459,19.6774,2.719,1063849,1699
460,19.2409,2.94,1063849,1699
461,19.7674,2.703,1063849,1699
462,19.4259,2.802,1063849,1699
463,18.9431,2.787,1063849,1699
464,20.4085,2.676,1063849,1699
465,19.2528,3.004,1063849,1699
466,20.3188,2.7,1063849,1699
467,19.9029,2.812,1063849,1699
468,19.9497,2.793,1063849,1699
469,19.2868,3.049,1063849,1699
470,19.441,2.827,1063849,1699
471,20.5523,2.851,1063849,1699
472,19.3624,2.949,1063849,1699
473,19.5771,2.62,1063849,1699
474,19.576,2.769,1063849,1699
475,20.0145,2.835,1063849,1699
476,19.2092,2.782,1063849,1699
477,19.2788,2.895,1063849,1699
478,19.9961,2.794,1063849,1699
479,18.9063,3.091,1063849,1699
480,20.1605,2.831,1063849,1699
481,18.9107,2.845,1063849,1699
482,18.9924,2.613,1063849,1699
483,18.8854,2.668,1063849,1699
484,20.5997,2.55,1063849,1699
485,19.7085,2.891,1063849,1699
486,18.9384,2.761,1063849,1699
487,18.7976,2.838,1063849,1699
488,19.0771,2.653,1063849,1699
489,18.7524,2.853,1063849,1699
490,19.1053,2.895,1063849,1699
491,19.737,2.932,1063849,1699
492,18.6958,2.883,1063849,1699
493,19.4645,2.896,1063849,1699
494,19.0052,2.582,1063849,1699
495,19.6563,2.873,1063849,1699
496,18.8068,2.599,1063849,1699
497,20.0223,2.587,1063849,1699
498,19.4323,3.059,1063849,1699
499,19.1522,2.733,1063849,1699
500,19.2016,2.8,1063849,1699
501,20.223,2.622,1063849,1699
502,19.2026,2.824,1063849,1699
503,19.169,2.819,1063849,1699
504,20.2462,2.854,1063849,1699
505,18.8067,2.948,1063849,1699
506,19.4776,2.818,1063849,1699
507,19.1385,2.883,1063849,1699
508,19.77,2.929,1063849,1699
509,19.2203,2.603,1063849,1699
510,20.0385,2.65,1063849,1699
511,20.6197,3.05,1063849,1699
512,19.3385,2.782,1063849,1699
513,19.679,2.924,1063849,1699
514,19.5328,2.885,1063849,1699
515,19.0123,2.836,1063849,1699
516,19.2062,2.8,1063849,1699
517,19.5294,2.679,1063849,1699
518,20.1518,2.684,1063849,1699
519,19.7482,2.86,1063849,1699
520,19.478,2.97,1063849,1699
521,19.2331,2.761,1063849,1699
522,19.7691,2.695,1063849,1699
523,19.2016,3.024,1063849,1699
524,18.5479,2.724,1063849,1699
525,19.5112,2.632,1063849,1699
526,19.3119,2.77,1063849,1699
527,19.3432,2.565,1063849,1699
528,19.4044,3.272,1063849,1699
529,18.9508,3.081,1063849,1699
530,18.7144,2.812,1063849,1699
531,19.527,2.803,1063849,1699
532,18.7214,2.984,1063849,1699
533,19.4312,2.828,1063849,1699
534,18.5332,2.796,1063849,1699
535,19.3522,2.764,1063849,1699
536,19.3456,2.833,1063849,1699
537,18.6431,3.11,1063849,1699
538,19.2444,2.687,1063849,1699
539,18.558,2.653,1063849,1699
540,18.2428,2.589,1063849,1699
541,20.0368,2.61,1063849,1699
542,20.133,2.996,1063849,1699
543,18.5972,3.253,1063849,1699
544,18.5203,2.755,1063849,1699
545,18.5099,2.887,1063849,1699
546,20.0093,2.666,1063849,1699
547,18.4264,3.142,1063849,1699
548,19.6489,2.671,1063849,1699
549,18.4728,2.783,1063849,1699
550,20.2805,2.722,1063849,1699
551,18.9006,2.907,1063849,1699
552,19.2157,2.588,1063849,1699
553,19.3319,2.771,1063849,1699
554,19.7525,2.744,1063849,1699
555,18.8774,2.953,1063849,1699
556,19.7637,2.63,1063849,1699
557,18.9747,2.906,1063849,1699
558,18.3938,2.794,1063849,1699
559,19.8829,2.712,1063849,1699
560,19.253,2.832,1063849,1699
561,18.9529,2.825,1063849,1699
562,18.8316,2.982,1063849,1699
563,19.3883,2.733,1063849,1699
564,18.7459,2.756,1063849,1699
565,18.3776,2.811,1063849,1699
566,19.2712,2.587,1063849,1699
567,18.95,2.827,1063849,1699
568,18.4436,2.819,1063849,1699
569,18.6524,3.161,1063849,1699
