frame,gpu_ms,cpu_ms,triangles,draws
569,18.5606,1.101,1063849,593
570,18.6385,1.135,1063849,593
571,18.9365,1.277,1063849,593
572,17.868,0.923,1063849,593
573,19.0858,0.854,1063849,593
574,18.5805,1.138,1063849,593
575,18.2024,1.138,1063849,593
576,19.584,0.969,1063849,593
577,18.2213,1.158,1063849,593
578,19.1166,0.978,1063849,593
579,18.5425,1.418,1063849,593
580,18.5499,1.164,1063849,593
581,18.9916,0.84,1063849,593
582,18.4889,1.217,1063849,593
583,18.2768,1.11,1063849,593
584,19.2119,1.053,1063849,593
585,17.5709,1.213,1063849,593
586,19.2043,1.084,1063849,593
587,18.9076,0.997,1063849,593
588,18.9293,1.041,1063849,593
589,18.3948,0.931,1063849,593
590,19.1526,1.05,1063849,593
591,18.5669,1.297,1063849,593
592,18.645,1.166,1063849,593
593,18.6404,1.135,1063849,593
594,17.9973,0.881,1063849,593
595,18.3256,0.825,1063849,593
596,18.9501,1.009,1063849,593
597,18.195,1.087,1063849,593
598,20.6316,0.815,1063849,593
599,18.8282,1.203,1063849,593
600,18.7928,1.142,1063849,593
601,18.3866,1.061,1063849,593
602,19.6359,0.97,1063849,593
603,18.3671,1.058,1063849,593
604,19.1717,1.019,1063849,593
605,18.3378,1.095,1063849,593
606,19.948,1.055,1063849,593
607,18.3111,1.233,1063849,593
608,18.7624,1.019,1063849,593
609,18.306,0.905,1063849,593
610,20.1278,1.019,1063849,593
611,18.5596,1.388,1063849,593
612,18.932,1.028,1063849,593
613,18.454,1.04,1063849,593
614,19.7252,1.079,1063849,593
615,19.2012,1.172,1063849,593
616,18.466,1.306,1063849,593
617,19.1988,1.086,1063849,593
618,18.8375,1.219,1063849,593
619,19.0735,1,1063849,593
620,18.762,1.131,1063849,593
621,18.5328,1.143,1063849,593
622,18.5985,1.027,1063849,593
623,20.1785,0.93,1063849,593
624,18.7312,1.222,1063849,593
625,18.3104,1.164,1063849,593
626,18.3433,1.1,1063849,593
627,19.7783,0.882,1063849,593
628,18.4011,1.046,1063849,593
629,19.5209,1.013,1063849,593
630,19.3446,1.17,1063849,593
631,19.2045,0.861,1063849,593
632,19.4002,1.378,1063849,593
633,18.7996,0.893,1063849,593
634,18.5,0.846,1063849,593
635,20.5262,0.985,1063849,593
636,19.1788,1.244,1063849,593
637,19.385,1.092,1063849,593
638,18.7641,1.052,1063849,593
639,20.106,1.044,1063849,593
640,18.7384,1.076,1063849,593
641,19.1188,1.031,1063849,593
642,18.9769,1.332,1063849,593
643,18.643,1.139,1063849,593
644,18.9956,0.961,1063849,593
645,19.6242,0.967,1063849,593
646,19.4114,1.169,1063849,593
647,19.3412,1.136,1063849,593
648,19.7384,1.107,1063849,593
649,19.0249,1.157,1063849,593
650,19.0744,1.071,1063849,593
651,20.7822,1.082,1063849,593
652,18.8756,1.644,1063849,593
653,19.7724,1.059,1063849,593
654,20.2164,1.05,1063849,593
655,19.233,1.069,1063849,593
656,19.7288,1.023,1063849,593
657,19.0359,0.913,1063849,593
658,18.8266,0.942,1063849,593
659,20.0297,1.114,1063849,593
660,19.1606,1.248,1063849,593
661,20.1449,1.057,1063849,593
662,19.115,1.063,1063849,593
663,18.78,1.036,1063849,593
664,19.5772,1.117,1063849,593
665,19.6401,1.186,1063849,593
666,18.7259,1.033,1063849,593
667,19.2967,0.838,1063849,593
668,19.5352,1.282,1063849,593
669,18.8892,0.985,1063849,593
670,19.7564,1.132,1063849,593
671,19.6824,1.131,1063849,593
672,20.0968,1.014,1063849,593
673,18.9173,1.171,1063849,593
674,19.668,0.904,1063849,593
675,18.722,1.169,1063849,593
676,18.8417,1.034,1063849,593
677,18.8463,0.934,1063849,593
678,19.5674,0.915,1063849,593
679,19.9907,1.319,1063849,593
680,18.8185,1.138,1063849,593
681,20.0538,0.975,1063849,593
682,19.7931,1.128,1063849,593
683,19.626,1.022,1063849,593
684,19.0684,1.169,1063849,593
685,19.3666,0.896,1063849,593
686,18.8746,1.16,1063849,593
687,18.7213,1.11,1063849,593
688,18.8882,0.909,1063849,593
689,19.3682,1.069,1063849,593
690,19.6807,1.079,1063849,593
691,19.2897,1.166,1063849,593
692,20.0406,1.065,1063849,593
693,18.8019,1.086,1063849,593
694,19.2518,0.996,1063849,593
695,18.9861,1.091,1063849,593
696,20.5372,1.098,1063849,593
697,19.13,1.198,1063849,593
698,18.9054,1.011,1063849,593
699,20.4737,0.955,1063849,593
700,18.6693,1.236,1063849,593
701,20.0488,1.011,1063849,593
702,18.7896,1.126,1063849,593
703,18.6899,0.877,1063849,593
704,18.0618,0.951,1063849,593
705,20.3234,0.908,1063849,593
706,18.8009,1.496,1063849,593
707,18.9584,0.846,1063849,593
708,19.3982,0.889,1063849,593
709,19.0831,1.144,1063849,593
710,19.4756,0.994,1063849,593
711,18.9926,0.992,1063849,593
712,18.8166,0.918,1063849,593
713,19.3215,0.941,1063849,593
714,20.1221,1.071,1063849,593
715,18.5589,1.106,1063849,593
716,18.5994,1.076,1063849,593
717,20.1537,1.126,1063849,593
718,19.1348,1.113,1063849,593
719,19.3073,1.045,1063849,593
720,18.9476,1.248,1063849,593
721,18.6823,1.151,1063849,593
722,18.8674,0.938,1063849,593
723,18.8509,0.911,1063849,593
724,19.3669,1.031,1063849,593
725,18.8218,1.095,1063849,593
726,19.4637,0.995,1063849,593
727,18.6862,0.951,1063849,593
728,19.4638,1,1063849,593
729,18.9603,1.071,1063849,593
730,20.1131,1.072,1063849,593
731,19.7023,1.092,1063849,593
732,19.0975,1.199,1063849,593
733,18.9675,1.054,1063849,593
734,18.9414,1.047,1063849,593
735,19.4305,0.982,1063849,593
736,18.9127,0.818,1063849,593
737,20.6349,0.909,1063849,593
738,19.9121,1.103,1063849,593
739,19.1786,0.912,1063849,593
740,19.0394,1.08,1063849,593
741,18.8553,1.078,1063849,593
742,19.3925,1.149,1063849,593
743,19.4113,1.069,1063849,593
744,19.7178,1.049,1063849,593
745,19.6437,1.354,1063849,593
746,19.4982,1.061,1063849,593
747,19.0441,1.044,1063849,593
748,18.9298,1.006,1063849,593
749,18.8957,1.114,1063849,593
750,18.5438,0.965,1063849,593
751,20.3743,1.148,1063849,593
752,19.1104,1.391,1063849,593
753,19.3831,1.038,1063849,593
754,18.9752,1.184,1063849,593
755,20.5863,0.972,1063849,593
756,18.9572,1.096,1063849,593
757,18.9851,0.87,1063849,593
758,19.4497,1.186,1063849,593
759,18.873,1.179,1063849,593
760,19.6417,0.935,1063849,593
761,19.0794,1.153,1063849,593
762,19.185,1.074,1063849,593
763,18.5567,1.025,1063849,593
764,20.5495,0.985,1063849,593
765,19.9852,1.14,1063849,593
766,19.2386,1.11,1063849,593
767,18.9547,1.158,1063849,593
768,19.3674,1.167,1063849,593
769,18.7638,0.969,1063849,593
770,19.8918,1.021,1063849,593
771,19.1138,1.094,1063849,593
772,18.8412,1.145,1063849,593
773,18.5476,1.17,1063849,593
774,19.2881,0.986,1063849,593
775,18.7058,0.964,1063849,593
776,19.7594,1.086,1063849,593
777,19.1683,1.425,1063849,593
778,18.681,1.115,1063849,593
779,18.9621,1.171,1063849,593
780,19.8801,1.09,1063849,593
781,19.3576,1.148,1063849,593
782,19.4176,0.88,1063849,593
783,18.5645,1.06,1063849,593
784,18.9735,1.405,1063849,593
785,18.697,1.125,1063849,593
786,19.1997,0.862,1063849,593
787,19.0506,1.068,1063849,593
788,18.944,1.015,1063849,593
789,20.3967,0.968,1063849,593
790,18.9171,1.433,1063849,593
791,19.5125,1.023,1063849,593
792,19.3874,1.17,1063849,593
793,19.2153,1.062,1063849,593
794,18.5764,1.15,1063849,593
795,18.4334,0.975,1063849,593
796,19.4017,0.833,1063849,593
797,18.9398,1.077,1063849,593
798,18.5702,0.981,1063849,593
799,18.6973,1.005,1063849,593
800,20.0728,0.922,1063849,593
801,19.168,1.165,1063849,593
802,18.3941,1.078,1063849,593
803,19.1976,1.041,1063849,593
804,18.8335,0.932,1063849,593
805,18.2587,1.161,1063849,593
806,18.463,1.173,1063849,593
807,18.4011,1.072,1063849,593
808,18.6938,0.962,1063849,593
809,18.3402,1.044,1063849,593
810,19.235,0.884,1063849,593
811,18.7203,1.278,1063849,593
812,18.7317,1.199,1063849,593
813,19.5791,0.928,1063849,593
814,18.3734,1.111,1063849,593
815,18.3604,1.059,1063849,593
816,18.1686,0.966,1063849,593
817,18.4504,0.9,1063849,593
818,19.3339,0.998,1063849,593
819,17.9483,0.885,1063849,593
820,19.2081,1.05,1063849,593
821,18.9663,1.117,1063849,593
822,18.7267,1.224,1063849,593
